"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"MobileMedia_200_60200_1.0_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;10,8;83,7271488159369;FALSE
"MobileMedia_200_60200_1.0_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;35,4;83,7271488159369;FALSE
"MobileMedia_200_60200_1.0_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;61;83,7271488159369;FALSE
"MobileMedia_200_60200_1.0_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;57;83,7271488159369;FALSE
"MobileMedia_50_15050_0.9_layer-MobileMedia_50_15050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;16,4;83,7271488159369;FALSE
"MobileMedia_50_15050_0.9_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;84,5;83,7271488159369;TRUE
"MobileMedia_50_15050_0.9_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;38,3;83,7271488159369;FALSE
"MobileMedia_50_15050_0.9_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;12,7;83,7271488159369;FALSE
"MobileMedia_50_15050_0.9_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;16,7;83,7271488159369;FALSE
"MobileMedia_50_15050_1.0_layer-MobileMedia_50_45050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;68,1;83,7271488159369;FALSE
"MobileMedia_50_15050_1.0_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;21,9;83,7271488159369;FALSE
"MobileMedia_50_15050_1.0_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;3,7;83,7271488159369;FALSE
"MobileMedia_50_15050_1.0_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;0,299999999999997;83,7271488159369;FALSE
"MobileMedia_50_45050_0.9_layer-MobileMedia_50_45050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;46,2;83,7271488159369;FALSE
"MobileMedia_50_45050_0.9_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;71,8;83,7271488159369;FALSE
"MobileMedia_50_45050_0.9_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;67,8;83,7271488159369;FALSE
"MobileMedia_50_45050_1.0_layer-MobileMedia_50_5050_0.9_layer";"Multiple comparison test after Kruskal-Wallis";0,05;25,6;83,7271488159369;FALSE
"MobileMedia_50_45050_1.0_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;21,6;83,7271488159369;FALSE
"MobileMedia_50_5050_0.9_layer-MobileMedia_50_5050_1.0_layer";"Multiple comparison test after Kruskal-Wallis";0,05;4;83,7271488159369;FALSE
