"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"agm_50_15050_0.9_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;59,4;83,7271488159369;FALSE
"agm_50_15050_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;55,8;83,7271488159369;FALSE
"agm_50_15050_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;57,7;83,7271488159369;FALSE
"agm_50_15050_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;57,6;83,7271488159369;FALSE
"agm_50_15050_1.0_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;84,8;83,7271488159369;TRUE
"agm_50_15050_1.0_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;81,2;83,7271488159369;FALSE
"agm_50_15050_1.0_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;32,3;83,7271488159369;FALSE
"agm_50_15050_1.0_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;32,2;83,7271488159369;FALSE
"agm_50_45050_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;3,59999999999999;83,7271488159369;FALSE
"agm_50_45050_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;117,1;83,7271488159369;TRUE
"agm_50_45050_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;117;83,7271488159369;TRUE
"agm_50_45050_1.0_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;113,5;83,7271488159369;TRUE
"agm_50_45050_1.0_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;113,4;83,7271488159369;TRUE
"agm_50_5050_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;0,0999999999999979;83,7271488159369;FALSE
