"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"BeT_100_30100_1.0_allComponents-BeT_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;79,6;83,7271488159369;FALSE
"BeT_100_30100_1.0_allComponents-BeT_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;40,5;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;43,7;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;47,7;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;17,6;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;30,3;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;28,9;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;16;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;30,1;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;47,4;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;4,5;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;5,8;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;5;83,7271488159369;FALSE
"BeT_100_90100_0.9_allComponents-BeT_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;77,2;83,7271488159369;FALSE
