,statistic,signif.level,dif.com.obs.dif,dif.com.critical.dif,dif.com.difference,,,
agm_100_90100_1.0_layer-agm_50_15050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,90,8,83,7271488159369,TRUE
agm_100_90100_1.0_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,86,7,83,7271488159369,TRUE
agm_100_90100_1.0_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,51,7,83,7271488159369,FALSE
agm_100_90100_1.0_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,24,83,7271488159369,,FALSE
agm_100_90100_1.0_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,128,9,83,7271488159369,TRUE
agm_100_90100_1.0_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,121,3,83,7271488159369,TRUE
agm_200_180200_0.9_layer-agm_200_180200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,6,30000000000001,83,7271488159369,FALSE
agm_200_180200_0.9_layer-agm_200_20200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,89,3,83,7271488159369,TRUE
agm_200_180200_0.9_layer-agm_200_20200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,93,4,83,7271488159369,TRUE
agm_200_180200_0.9_layer-agm_200_60200_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,23,4,83,7271488159369,FALSE
agm_200_180200_0.9_layer-agm_200_60200_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,24,6,83,7271488159369,FALSE
agm_200_180200_0.9_layer-agm_50_15050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,93,6,83,7271488159369,TRUE
agm_200_180200_0.9_layer-agm_50_15050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,89,5,83,7271488159369,TRUE
agm_200_180200_0.9_layer-agm_50_45050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,54,5,83,7271488159369,FALSE
agm_200_180200_0.9_layer-agm_50_45050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,26,8,83,7271488159369,FALSE
agm_200_180200_0.9_layer-agm_50_5050_0.9_layer,Multiple comparison test after Kruskal-Wallis,0,5,131,7,83,7271488159369,TRUE
agm_200_180200_0.9_layer-agm_50_5050_1.0_layer,Multiple comparison test after Kruskal-Wallis,0,5,124,1,83,7271488159369,TRUE
