"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"banking_100_90100_0.9_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;27,55;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;71,25;83,7271488159369;FALSE
"banking_100_90100_0.9_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;77,35;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_200_180200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;31,55;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_200_180200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;30,05;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_200_20200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;19,4;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_200_20200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;26,25;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_200_60200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;6,35000000000001;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;2,2;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;48;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;13,2;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;15,8;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;29,25;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;72,95;83,7271488159369;FALSE
"banking_100_90100_1.0_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;79,05;83,7271488159369;FALSE
"banking_200_180200_0.9_clientserver-banking_200_180200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;1,5;83,7271488159369;FALSE
"banking_200_180200_0.9_clientserver-banking_200_20200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;50,95;83,7271488159369;FALSE
"banking_200_180200_0.9_clientserver-banking_200_20200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;57,8;83,7271488159369;FALSE
"banking_200_180200_0.9_clientserver-banking_200_60200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;37,9;83,7271488159369;FALSE
"banking_200_180200_0.9_clientserver-banking_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;33,75;83,7271488159369;FALSE
"banking_200_180200_0.9_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;79,55;83,7271488159369;FALSE
"banking_200_180200_0.9_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;44,75;83,7271488159369;FALSE
"banking_200_180200_0.9_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;47,35;83,7271488159369;FALSE
"banking_200_180200_0.9_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;60,8;83,7271488159369;FALSE
"banking_200_180200_0.9_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;104,5;83,7271488159369;TRUE
"banking_200_180200_0.9_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;110,6;83,7271488159369;TRUE
"banking_200_180200_1.0_clientserver-banking_200_20200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;49,45;83,7271488159369;FALSE
"banking_200_180200_1.0_clientserver-banking_200_20200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;56,3;83,7271488159369;FALSE
"banking_200_180200_1.0_clientserver-banking_200_60200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;36,4;83,7271488159369;FALSE
"banking_200_180200_1.0_clientserver-banking_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;32,25;83,7271488159369;FALSE
"banking_200_180200_1.0_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;78,05;83,7271488159369;FALSE
"banking_200_180200_1.0_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;43,25;83,7271488159369;FALSE
"banking_200_180200_1.0_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;45,85;83,7271488159369;FALSE
"banking_200_180200_1.0_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;59,3;83,7271488159369;FALSE
"banking_200_180200_1.0_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;103;83,7271488159369;TRUE
"banking_200_180200_1.0_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;109,1;83,7271488159369;TRUE
"banking_200_20200_0.9_clientserver-banking_200_20200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;6,84999999999999;83,7271488159369;FALSE
"banking_200_20200_0.9_clientserver-banking_200_60200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;13,05;83,7271488159369;FALSE
"banking_200_20200_0.9_clientserver-banking_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;17,2;83,7271488159369;FALSE
"banking_200_20200_0.9_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;28,6;83,7271488159369;FALSE
"banking_200_20200_0.9_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;6,2;83,7271488159369;FALSE
"banking_200_20200_0.9_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;3,59999999999999;83,7271488159369;FALSE
"banking_200_20200_0.9_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;9,84999999999999;83,7271488159369;FALSE
"banking_200_20200_0.9_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;53,55;83,7271488159369;FALSE
"banking_200_20200_0.9_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;59,65;83,7271488159369;FALSE
"banking_200_20200_1.0_clientserver-banking_200_60200_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;19,9;83,7271488159369;FALSE
"banking_200_20200_1.0_clientserver-banking_200_60200_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;24,05;83,7271488159369;FALSE
"banking_200_20200_1.0_clientserver-banking_50_15050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;21,75;83,7271488159369;FALSE
"banking_200_20200_1.0_clientserver-banking_50_15050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;13,05;83,7271488159369;FALSE
"banking_200_20200_1.0_clientserver-banking_50_45050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;10,45;83,7271488159369;FALSE
"banking_200_20200_1.0_clientserver-banking_50_45050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;3;83,7271488159369;FALSE
"banking_200_20200_1.0_clientserver-banking_50_5050_0.9_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;46,7;83,7271488159369;FALSE
"banking_200_20200_1.0_clientserver-banking_50_5050_1.0_clientserver";"Multiple comparison test after Kruskal-Wallis";0,05;52,8;83,7271488159369;FALSE
